episode,scores,steps
0,-10,71
1,100,96
2,-10,260
3,100,417
4,100,488
5,100,584
6,100,751
7,-10,881
8,100,1066
9,-10,1119
10,-10,1173
11,100,1197
12,100,1240
13,-10,1404
14,100,1612
15,-10,1668
16,-10,1755
17,100,1785
18,100,1806
19,-10,1939
20,-10,1992
21,-10,2136
22,-10,2431
23,100,2512
24,-10,2564
25,100,2626
26,-10,2698
27,100,2729
28,100,2821
29,-10,3039
30,-10,3296
31,-10,3538
32,100,3621
33,100,3672
34,-10,3755
35,100,3914
36,-10,3981
37,-10,4033
38,-10,4289
39,-10,4417
40,-10,4492
41,100,4526
42,100,4579
43,100,4617
44,-10,4964
45,-10,5042
46,100,5177
47,-10,5321
48,-10,5519
49,-10,5745
50,-10,5842
51,-10,6027
52,-10,6249
53,100,6404
54,-10,6605
55,100,6646
56,100,6721
57,100,6922
58,-10,6982
59,-10,7029
60,100,7219
61,-10,7393
62,-10,7555
63,100,7794
64,-10,7962
65,100,8060
66,-10,8338
67,-10,8766
68,100,8891
69,-10,9076
70,-10,9198
71,100,9234
72,100,9301
73,-10,9361
74,100,9460
75,-10,9512
76,100,9772
77,-10,9957
78,-10,10138
79,-10,10468
80,100,10561
81,-10,10636
82,100,10827
83,-10,10858
84,100,10880
85,-10,11060
86,-10,11233
87,-10,11468
88,-10,11669
89,-10,11714
90,-10,11766
91,-10,12100
92,100,12194
93,100,12450
94,-10,12584
95,-10,12928
96,100,13045
97,100,13103
98,100,13204
99,100,13427
100,-10,13536
101,-10,13596
102,100,13645
103,100,13727
104,-10,13975
105,100,14046
106,-10,14360
107,-10,14493
108,-10,14541
109,100,14637
110,-10,14983
111,100,15155
112,-10,15290
113,100,15490
114,100,15632
115,100,15738
116,100,15819
117,-10,16148
118,-10,16210
119,-10,16272
120,-10,16405
121,-10,16587
122,100,16693
123,-10,16751
124,100,16855
125,100,16905
126,-10,17145
127,100,17159
128,100,17308
129,100,17390
130,-10,17618
131,-10,17758
132,100,17902
133,-10,18135
134,-10,18406
135,-10,18462
136,100,18756
137,100,18757
138,100,18817
139,-10,19052
140,-10,19251
141,-10,19383
142,100,19539
143,-10,19772
144,100,19915
145,100,19949
146,-10,20196
147,100,20283
148,-10,20441
149,100,20546
150,-10,20600
151,100,20693
152,100,20694
153,-10,20868
154,-10,20989
155,100,21178
156,100,21220
157,-10,21301
158,-10,21469
159,-10,21682
160,-10,21717
161,100,21899
162,-10,22005
163,-10,22142
164,100,22350
165,-10,22411
166,-10,22592
167,-10,22911
168,100,23005
169,100,23123
170,100,23252
171,-10,23504
172,-10,23565
173,100,23658
174,100,23714
175,-10,23793
176,100,23825
177,-10,24035
178,100,24153
179,-10,24245
180,100,24299
181,-10,24509
182,-10,24672
183,-10,25172
184,-10,25442
185,-10,25647
186,100,25922
187,100,26048
188,100,26100
189,100,26181
190,-10,26257
191,-10,26487
192,100,26511
193,100,26584
194,100,26707
195,-10,26741
196,100,26802
197,-10,26926
198,100,26956
199,-10,27095
200,-10,27176
201,100,27243
202,-10,27314
203,100,27340
204,-10,27594
205,-10,27669
206,100,27826
207,-10,27883
208,-10,28102
209,100,28314
210,-10,28377
211,-10,28491
212,100,28615
213,-10,28676
214,100,28863
215,-10,29271
216,-10,29516
217,-10,29722
218,100,30003
219,100,30064
220,100,30265
221,100,30452
222,100,30832
223,100,31273
224,-10,31358
225,-10,31858
226,-10,32208
227,100,32410
228,100,32598
229,-10,32666
230,-10,33006
231,-10,33506
232,100,33666
233,-10,33718
234,100,33802
235,100,33853
236,-10,33924
237,100,34205
238,100,34306
239,-10,34593
240,100,34671
241,-10,35171
242,100,35460
243,-10,35510
244,100,35936
245,-10,36436
246,-10,36532
247,100,36719
248,100,36905
249,-10,36986
250,100,37011
251,100,37237
252,-10,37278
253,100,37364
254,-10,37444
255,-10,37677
256,100,38091
257,100,38162
258,-10,38662
259,100,38868
260,100,38960
261,-10,39113
262,100,39114
263,100,39554
264,100,39681
265,100,40103
266,-10,40247
267,-10,40637
268,100,40780
269,-10,40966
270,100,41060
271,-10,41112
272,-10,41465
273,100,41510
274,100,41708
275,100,41798
276,-10,41900
277,-10,41972
278,-10,42472
279,-10,42539
280,100,42720
281,-10,42766
282,-10,43204
283,100,43335
284,-10,43498
285,-10,43549
286,100,43740
287,100,44220
288,100,44637
289,100,44701
290,100,44851
291,100,44933
292,100,45103
293,-10,45146
294,-10,45490
295,100,45620
296,-10,45984
297,-10,46038
298,100,46121
299,100,46205
300,-10,46537
301,100,46953
302,-10,47280
303,-10,47332
304,100,47481
305,-10,47895
306,-10,48093
307,100,48188
308,100,48231
309,-10,48731
310,100,48796
311,100,48842
312,-10,49132
313,100,49236
314,-10,49529
315,100,49786
316,-10,50286
317,100,50449
318,100,50463
319,100,50742
320,-10,51242
321,100,51412
322,-10,51637
323,100,51704
324,100,51768
325,-10,51963
326,100,52007
327,100,52122
328,-10,52264
329,100,52421
330,100,52499
331,-10,52944
332,-10,53438
333,-10,53493
334,-10,53993
335,-10,54092
336,-10,54301
337,100,54348
338,-10,54429
339,100,54443
340,100,54561
341,-10,54651
342,100,54836
343,100,54944
344,100,54989
345,100,55159
346,100,55323
347,100,55441
348,100,55535
349,-10,55683
350,-10,56151
351,100,56183
352,100,56263
353,-10,56496
354,100,56539
355,100,56587
356,-10,56996
357,-10,57311
358,100,57359
359,100,57591
