episode,scores,steps
0,-10,146
1,-10,280
2,-10,339
3,-10,433
4,-10,537
5,-10,590
6,-10,611
7,-10,668
8,-10,744
9,-10,771
10,100,804
11,-10,848
12,-10,882
13,-10,925
14,-10,941
15,-10,993
16,-10,1044
17,-10,1116
18,-10,1224
19,-10,1286
20,-10,1371
21,-10,1418
22,-10,1502
23,-10,1617
24,-10,1686
25,-10,1721
26,-10,1802
27,-10,1826
28,-10,1869
29,-10,1924
30,-10,1970
31,-10,2024
32,-10,2097
33,-10,2415
34,-10,2629
35,-10,2913
36,-10,3413
37,-10,3671
38,-10,3930
39,-10,3993
40,-10,4143
41,-10,4249
42,-10,4346
43,-10,4408
44,-10,4568
45,-10,4655
46,-10,5045
47,-10,5173
48,-10,5236
49,-10,5306
50,-10,5464
51,-10,5560
52,-10,5699
53,100,5974
54,-10,6081
55,-10,6377
56,-10,6516
57,-10,6580
58,-10,6779
59,-10,6990
60,-10,7088
61,-10,7209
62,100,7295
63,100,7424
64,100,7493
65,-10,7552
66,100,7565
67,100,7622
68,100,7657
69,100,7786
70,100,7849
71,100,7961
72,-10,8075
73,100,8146
74,100,8172
75,100,8285
76,-10,8386
77,100,8422
78,-10,8711
79,100,8761
80,-10,8907
81,-10,9000
82,-10,9194
83,-10,9294
84,-10,9447
85,-10,9570
86,100,9601
87,-10,9623
88,-10,9649
89,100,9683
90,-10,9709
91,-10,9749
92,100,9777
93,-10,9868
94,-10,9979
95,-10,10051
96,-10,10072
97,-10,10141
98,-10,10194
99,-10,10257
100,100,10298
101,100,10312
102,-10,10331
103,-10,10462
104,100,10482
105,-10,10524
106,100,10564
107,100,10589
108,-10,10703
109,100,10727
110,-10,10788
111,100,10846
112,100,10983
113,-10,11003
114,100,11034
115,100,11047
116,100,11076
117,100,11101
118,100,11124
119,100,11153
120,100,11186
121,100,11204
122,100,11215
123,-10,11269
124,100,11282
125,-10,11342
126,-10,11369
127,100,11392
128,100,11415
129,100,11434
130,100,11465
131,100,11471
132,100,11486
133,100,11504
134,100,11516
135,-10,11544
136,100,11560
137,100,11627
138,-10,11662
139,100,11678
140,100,11705
141,100,11771
142,100,11814
143,100,11830
144,-10,11851
145,-10,11875
146,-10,11927
147,100,11955
148,100,11959
149,-10,12009
150,100,12024
151,-10,12037
152,-10,12078
153,100,12100
154,-10,12111
155,-10,12134
156,100,12150
157,100,12235
158,100,12272
159,100,12294
160,-10,12316
161,100,12320
162,100,12356
163,100,12375
164,100,12391
165,100,12411
166,100,12425
167,-10,12435
168,-10,12454
169,-10,12468
170,100,12489
171,100,12505
172,100,12526
173,100,12537
