episode,scores,steps
0,-10,234
1,-10,415
2,100,531
3,-10,560
4,-10,1060
5,-10,1560
6,100,2050
7,-10,2078
8,-10,2110
9,-10,2136
10,100,2249
11,100,2285
12,-10,2307
13,-10,2324
14,-10,2493
15,100,2631
16,100,2668
17,100,2731
18,-10,2788
19,100,2834
20,-10,2855
21,-10,2885
22,100,3265
23,-10,3384
24,100,3547
25,-10,3580
26,-10,3875
27,-10,3904
28,100,3952
29,-10,4123
30,-10,4222
31,-10,4248
32,-10,4282
33,100,4331
34,-10,4500
35,100,4514
36,-10,4587
37,-10,4634
38,100,4677
39,-10,4814
40,-10,4868
41,-10,4902
42,100,4988
43,-10,5216
44,100,5273
45,100,5293
46,-10,5320
47,100,5376
48,-10,5410
49,-10,5720
50,-10,5847
51,-10,5872
52,100,5981
53,-10,6165
54,-10,6204
55,-10,6236
56,100,6509
57,-10,6561
58,-10,6586
59,-10,6716
60,-10,6783
61,100,6847
62,-10,7046
63,-10,7089
64,100,7127
65,-10,7210
66,-10,7256
67,100,7311
68,100,7332
69,100,7369
70,-10,7686
71,100,8012
72,100,8052
73,-10,8094
74,100,8155
75,-10,8197
76,-10,8355
77,100,8503
78,100,8586
79,-10,8624
80,-10,8675
81,100,8815
82,-10,8919
83,100,9028
84,-10,9191
85,-10,9298
86,100,9303
87,100,9394
88,100,9509
89,-10,9543
90,100,9544
91,-10,9574
92,100,9610
93,-10,9645
94,100,9683
95,100,9797
96,-10,9839
97,100,9868
98,100,9891
99,100,10009
100,-10,10043
101,100,10220
102,100,10300
103,-10,10466
104,-10,10512
105,100,10528
106,100,10603
107,100,11059
108,100,11254
109,-10,11300
110,-10,11632
111,100,11663
112,100,11757
113,100,11864
114,-10,12265
115,100,12485
116,100,12610
117,100,12738
118,100,12745
119,100,12953
120,-10,12992
121,100,13223
122,100,13352
123,100,13353
124,100,13384
125,100,13409
126,-10,13476
127,100,13665
128,-10,13698
129,100,13781
130,100,13786
131,100,13818
132,-10,13859
133,100,13867
134,100,13883
135,100,13890
136,100,13943
137,-10,14326
138,100,14360
139,100,14438
140,100,14533
141,100,14744
142,100,14753
143,-10,14925
144,100,15023
145,100,15044
146,100,15203
147,100,15204
148,100,15350
149,-10,15500
150,100,15521
151,100,15606
152,100,15695
153,100,15771
154,100,15888
155,-10,15924
156,-10,15962
157,100,16382
158,100,16383
159,100,16404
160,100,16444
161,100,16502
162,100,16575
163,100,16753
164,100,16902
165,-10,16936
166,-10,16969
167,100,17102
168,-10,17501
169,100,17617
170,-10,17711
171,-10,17749
172,100,17815
173,100,17937
174,100,17963
175,100,18255
176,100,18263
177,100,18461
178,100,18568
179,100,18624
180,-10,18649
181,100,18677
182,100,18697
183,100,18716
184,100,18820
185,100,18821
186,100,18960
187,100,18970
188,100,18971
189,100,18984
190,100,19010
191,100,19032
192,-10,19064
193,100,19089
194,100,19133
195,100,19138
196,100,19159
197,-10,19188
198,100,19241
199,100,19311
200,100,19375
201,100,19411
202,100,19455
203,100,19473
204,100,19524
205,100,19554
206,100,19761
207,100,19856
208,-10,19893
209,100,20044
210,100,20062
211,100,20089
212,100,20090
213,100,20446
214,100,20479
215,100,20501
216,100,20604
217,100,20830
218,100,20909
219,100,20962
220,100,21013
221,100,21070
222,100,21482
223,100,21509
224,-10,21543
225,100,21548
226,100,21572
227,100,21656
228,100,21657
229,-10,21690
230,100,21786
231,100,21884
232,100,21893
233,-10,21916
234,-10,21957
235,100,21979
236,100,21997
237,100,22041
238,-10,22076
239,-10,22167
240,100,22287
241,-10,22323
242,100,22504
243,100,22823
244,100,22847
245,100,22900
246,100,22967
247,100,23162
248,100,23213
249,100,23347
250,100,23355
251,100,23378
252,100,23404
253,100,23486
254,100,23508
255,100,23534
256,-10,23666
257,100,23844
258,100,23930
259,100,24018
260,100,24060
261,100,24153
262,100,24155
263,100,24189
264,100,24276
265,100,24298
266,-10,24338
267,100,24370
268,100,24389
269,100,24396
270,100,24432
271,100,24818
272,100,24956
