episode,scores,steps
0,100,163
1,100,164
2,100,175
3,-10,219
4,100,487
5,100,619
6,100,873
7,-10,956
8,100,1119
9,-10,1164
10,100,1293
11,100,1343
12,100,1594
13,100,1793
14,-10,1856
15,-10,1984
16,100,2157
17,100,2263
18,100,2327
19,100,2388
20,-10,2427
21,100,2467
22,100,2539
23,100,2639
24,100,2717
25,-10,2752
26,-10,2811
27,100,2869
28,-10,2954
29,100,3032
30,100,3219
31,100,3283
32,-10,3369
33,-10,3419
34,100,3573
35,100,3637
36,-10,3710
37,100,3735
38,100,3774
39,-10,3817
40,100,3890
41,-10,3985
42,-10,4061
43,100,4225
44,-10,4317
45,-10,4388
46,100,4389
47,-10,4430
48,-10,4527
49,-10,4606
50,100,4706
51,-10,4764
52,100,4936
53,100,5078
54,100,5152
55,-10,5224
56,100,5294
57,-10,5390
58,100,5627
59,100,5696
60,100,5906
61,100,5932
62,100,6069
63,-10,6229
64,100,6461
65,-10,6524
66,100,6649
67,100,6756
68,100,6802
69,-10,6851
70,100,6865
71,100,6917
72,100,6998
73,100,7016
74,100,7231
75,100,7268
76,100,7283
77,-10,7325
78,100,7430
79,100,7467
80,100,7468
81,-10,7555
82,100,7693
83,-10,7780
84,100,7930
85,100,8069
86,-10,8143
87,100,8202
88,-10,8243
89,-10,8277
90,-10,8363
91,-10,8419
92,-10,8531
93,100,8570
94,100,8777
95,100,8858
96,100,8898
97,100,9001
98,-10,9051
99,100,9178
100,100,9179
101,-10,9257
102,-10,9359
103,100,9400
104,100,9551
105,100,9650
106,-10,9747
107,-10,9817
108,100,9973
109,-10,10040
110,100,10105
111,100,10163
112,-10,10208
113,100,10271
114,-10,10312
115,100,10340
116,100,10418
117,-10,10470
118,100,10662
119,-10,10711
120,-10,10768
121,100,10907
122,100,11021
123,100,11149
124,100,11169
125,100,11318
126,-10,11443
127,100,11449
128,100,11637
129,100,11692
130,100,11738
131,-10,11808
132,100,11912
133,100,11996
134,100,12043
135,-10,12102
136,100,12175
137,100,12390
138,100,12430
139,100,12465
140,100,12609
141,-10,12647
142,100,12757
143,100,12939
144,-10,12986
145,100,13129
146,-10,13174
147,-10,13251
148,100,13338
149,-10,13634
150,100,13640
151,100,13666
152,-10,13750
153,100,13755
154,-10,13852
155,100,13986
156,-10,14055
157,100,14191
158,100,14316
159,-10,14381
160,100,14422
161,-10,14529
162,100,14652
163,100,14704
164,-10,14877
165,100,14903
166,100,14953
167,-10,15167
168,100,15168
169,-10,15265
170,100,15407
171,-10,15471
172,100,15511
173,100,15535
174,100,15702
175,100,15790
176,100,15824
177,100,15842
178,-10,15882
179,-10,15932
180,100,15988
181,-10,16163
182,-10,16311
183,-10,16535
184,100,16663
185,100,16723
186,-10,16815
187,100,16992
188,-10,17028
189,-10,17063
190,100,17134
191,100,17284
192,100,17381
193,100,17434
194,-10,17510
195,100,17563
196,100,17662
197,-10,17733
198,100,17786
199,100,17842
200,100,17882
201,-10,17923
202,100,17965
203,-10,18004
204,-10,18070
205,100,18127
206,-10,18219
207,-10,18296
208,100,18433
209,100,18455
210,100,18682
211,100,18742
212,100,19032
213,-10,19201
214,100,19248
215,-10,19318
216,-10,19385
217,100,19467
218,100,19746
219,100,19789
220,100,19790
221,-10,19827
222,-10,19907
223,100,20007
224,100,20052
225,-10,20110
226,-10,20181
227,100,20364
228,100,20453
229,100,20488
230,-10,20532
231,100,20559
232,100,20584
233,100,20704
234,100,20856
235,-10,20900
236,100,20976
237,100,21060
238,-10,21102
239,-10,21132
240,-10,21185
241,-10,21225
242,-10,21327
243,-10,21406
244,100,21471
245,-10,21514
246,-10,21610
247,100,21795
248,100,21950
249,100,22098
250,100,22149
251,-10,22265
252,100,22316
253,100,22367
254,100,22383
255,100,22471
256,-10,22658
257,100,22798
258,-10,22894
259,100,23086
260,-10,23138
261,-10,23229
262,100,23361
263,100,23480
264,-10,23571
265,100,23647
266,-10,23813
267,-10,23856
268,100,23998
269,-10,24120
270,100,24161
271,-10,24197
272,-10,24349
273,100,24544
274,100,24636
275,100,24747
276,100,24850
277,100,24936
278,100,25011
279,100,25054
280,-10,25095
281,100,25117
282,100,25208
