episode,episode,scores,steps,alpha,comp_progress,critic_loss,actor_loss
0,0,100,25,0.0003,0.0,0.0,0.0
1,1,100,56,0.0003,0.0,0.0,0.0
2,2,100,68,0.0003,0.0,0.0,0.0
3,3,100,94,0.0003,0.0,0.0,0.0
4,4,100,121,0.0003,0.0,0.0,0.0
5,5,100,162,0.0003,0.0,134.14111328125,16.89470863342285
6,6,100,205,0.0003,0.0,181.45742797851562,22.38962745666504
7,7,100,209,0.0003,0.0,199.6068878173828,19.343181610107422
8,8,100,253,0.0003,0.0,153.98207092285156,20.467466354370117
9,9,-10,298,0.0003,0.0,86.89202117919922,20.934696197509766
10,10,100,314,0.0003,0.0,107.14618682861328,32.67925262451172
12,12,100,362,0.0003,0.0,107.266845703125,33.80854415893555
13,13,100,402,0.0003,0.0,162.24526977539062,21.424280166625977
14,14,100,418,0.0003,0.0,88.85113525390625,10.908371925354004
15,15,100,436,0.0003,0.0,168.17120361328125,17.840545654296875
16,16,100,498,0.0003,0.0,86.53366088867188,23.732999801635742
17,17,100,560,0.0003,0.0,245.6351776123047,17.465002059936523
18,18,100,614,0.0003,0.0,205.44479370117188,18.387067794799805
19,19,100,630,0.0003,0.0,153.07333374023438,25.253156661987305
20,20,100,654,0.0003,0.0,277.11419677734375,18.798391342163086
21,21,100,725,0.0003,0.0,105.62348937988281,30.051494598388672
22,22,100,765,0.0003,0.0,175.99508666992188,21.09441375732422
23,23,100,803,0.0003,0.0,203.76296997070312,24.502477645874023
24,24,100,810,0.0003,0.0,157.6258544921875,28.40298080444336
25,25,100,836,0.0003,0.0,136.92529296875,26.179672241210938
26,26,100,894,0.0003,0.0,89.17808532714844,34.98054504394531
27,27,100,900,0.0003,0.0,179.7257080078125,28.950618743896484
28,28,100,950,0.0003,0.0,140.6865234375,29.909252166748047
29,29,100,986,0.0003,0.0,161.35549926757812,30.30223846435547
30,30,-10,1066,0.0003,0.0,171.41136169433594,36.721290588378906
31,31,100,1132,0.0003,0.0,124.06490325927734,39.67294692993164
