episode,scores,steps
0,100,1
1,-10,501
2,-10,777
3,-10,818
4,-10,865
5,-10,969
6,-10,1040
7,-10,1082
8,-10,1125
9,-10,1169
10,-10,1213
11,100,1249
12,-10,1298
13,100,1348
14,-10,1419
15,-10,1466
16,-10,1521
17,-10,1570
18,-10,1621
19,-10,1672
20,-10,1751
21,-10,1819
22,-10,1870
23,100,1896
24,-10,1969
25,-10,2009
26,100,2024
27,100,2025
28,100,2036
29,-10,2083
30,-10,2133
31,-10,2199
32,-10,2272
33,-10,2314
34,-10,2439
35,-10,2486
36,-10,2585
37,-10,2635
38,-10,2739
39,-10,2783
40,-10,2832
41,100,2844
42,-10,2885
43,-10,2953
44,-10,3026
45,-10,3076
46,-10,3148
47,-10,3191
48,-10,3245
49,-10,3293
50,-10,3337
51,-10,3390
52,-10,3436
53,-10,3480
54,-10,3526
55,-10,3578
56,-10,3680
57,-10,3734
58,-10,3786
59,100,3819
60,-10,3870
61,-10,3915
62,-10,3969
63,-10,4012
64,-10,4088
65,-10,4193
66,-10,4239
67,-10,4287
68,-10,4338
69,100,4339
70,-10,4412
71,-10,4463
72,-10,4508
73,-10,4591
74,-10,4640
75,100,4653
76,-10,4743
77,100,4788
78,100,4797
79,-10,4848
80,-10,4922
81,-10,4979
82,-10,5023
83,-10,5078
84,-10,5122
85,-10,5170
86,-10,5222
87,-10,5278
88,-10,5323
89,-10,5372
90,100,5373
91,-10,5430
92,-10,5477
93,-10,5530
94,-10,5603
95,-10,5646
96,-10,5691
97,100,5697
98,-10,5753
99,100,5764
100,100,5771
101,100,5772
102,-10,5822
103,-10,5870
104,100,5871
105,-10,5925
106,-10,5983
107,100,6016
108,100,6076
109,-10,6140
110,-10,6188
111,-10,6234
112,-10,6310
113,100,6311
114,100,6323
115,-10,6369
116,100,6425
117,100,6431
118,-10,6489
119,-10,6543
120,-10,6608
121,-10,6668
122,-10,6778
123,-10,6846
124,-10,6941
125,-10,6994
126,-10,7062
127,-10,7122
128,-10,7200
129,-10,7253
130,-10,7341
131,-10,7387
132,-10,7443
133,100,7457
134,-10,7512
135,-10,7568
136,100,7569
137,-10,7623
138,-10,7676
139,100,7677
140,-10,7724
141,-10,7797
142,-10,7883
143,-10,7947
144,-10,8005
145,-10,8069
146,-10,8158
147,-10,8214
148,-10,8268
149,-10,8373
150,-10,8448
151,-10,8500
152,-10,8547
153,-10,8599
154,-10,8652
155,-10,8709
156,-10,8765
157,-10,8816
158,-10,8866
159,-10,8909
160,-10,8992
161,-10,9046
162,-10,9096
163,-10,9139
164,-10,9196
165,100,9197
166,-10,9252
167,-10,9300
168,100,9312
169,-10,9359
170,-10,9426
171,-10,9507
172,-10,9568
173,-10,9646
174,-10,9703
175,-10,9761
176,-10,9838
177,-10,9886
178,-10,9945
179,100,9986
180,-10,10052
181,100,10060
182,-10,10111
183,-10,10171
184,100,10177
185,-10,10244
186,-10,10297
187,-10,10352
188,-10,10416
189,100,10417
190,-10,10520
191,-10,10606
192,-10,10677
193,-10,10783
194,-10,10902
195,-10,10996
196,-10,11055
197,-10,11126
198,-10,11173
199,-10,11216
200,-10,11274
201,-10,11339
202,-10,11421
203,-10,11518
204,-10,11629
205,100,11665
206,100,11666
207,-10,11733
208,-10,11800
209,100,11801
210,-10,11855
211,-10,11943
212,-10,12003
213,-10,12057
214,-10,12104
215,-10,12151
216,-10,12206
217,-10,12293
218,-10,12373
219,-10,12442
220,-10,12526
221,-10,12644
222,-10,12709
223,-10,12765
224,-10,12883
225,-10,12975
226,-10,13091
227,-10,13160
228,-10,13262
229,-10,13335
230,-10,13411
231,-10,13517
232,-10,13556
233,-10,13613
234,100,13668
235,-10,13730
236,-10,13777
237,-10,13848
238,-10,13906
239,-10,14007
240,-10,14059
241,-10,14144
242,-10,14196
243,-10,14242
244,-10,14290
245,100,14297
246,-10,14354
247,-10,14409
248,-10,14503
249,-10,14600
250,-10,14695
251,-10,14746
252,-10,14858
253,-10,14919
254,100,14953
255,-10,15041
256,-10,15145
257,-10,15258
258,100,15272
259,100,15306
260,-10,15370
261,-10,15435
262,-10,15532
263,100,15540
264,100,15541
265,-10,15596
266,-10,15656
267,-10,15752
268,-10,15866
269,-10,15973
270,-10,16033
271,-10,16089
272,-10,16132
273,-10,16235
274,-10,16284
275,-10,16357
276,-10,16405
277,100,16460
278,-10,16518
279,-10,16574
280,-10,16683
281,-10,16789
282,100,16799
283,100,16800
284,-10,16911
285,100,16970
286,-10,17018
287,-10,17111
288,100,17144
289,-10,17195
290,100,17247
291,-10,17297
292,-10,17354
293,-10,17409
294,100,17419
295,-10,17540
296,-10,17586
297,-10,17636
298,-10,17719
299,-10,17769
300,-10,17875
301,-10,17945
302,-10,17991
303,100,18054
304,-10,18111
305,-10,18210
306,-10,18262
307,-10,18311
308,-10,18428
309,-10,18474
310,-10,18553
311,100,18561
312,-10,18606
313,-10,18661
314,-10,18721
315,-10,18776
316,-10,18886
317,100,18919
318,-10,19023
319,-10,19070
320,100,19078
321,100,19079
322,100,19080
323,-10,19152
324,-10,19264
325,-10,19377
326,-10,19429
327,-10,19477
328,-10,19523
329,-10,19574
330,-10,19623
331,100,19686
332,-10,19743
333,-10,19791
334,-10,19850
335,-10,19899
336,-10,19953
337,-10,20006
338,-10,20123
339,-10,20230
340,-10,20279
341,-10,20325
342,-10,20390
343,-10,20441
344,-10,20495
345,-10,20585
346,-10,20632
347,100,20666
348,-10,20714
349,-10,20764
350,100,20807
351,100,20808
352,-10,20864
353,-10,20912
354,-10,20970
355,-10,21074
356,-10,21129
357,-10,21181
358,-10,21236
359,-10,21295
360,-10,21415
361,-10,21469
362,-10,21575
363,100,21615
364,100,21652
365,-10,21706
366,-10,21758
367,-10,21808
368,-10,21850
369,100,21873
370,-10,21938
371,-10,22027
372,-10,22076
373,-10,22128
374,-10,22182
375,-10,22296
376,-10,22403
377,100,22413
378,-10,22464
379,-10,22519
380,-10,22586
381,100,22594
382,-10,22710
383,-10,22770
384,-10,22823
385,-10,22879
386,-10,22985
387,100,23023
388,-10,23139
389,-10,23253
390,-10,23360
391,-10,23417
392,-10,23476
393,-10,23524
394,-10,23576
395,-10,23633
396,-10,23684
397,-10,23739
398,-10,23825
399,-10,23878
400,-10,24001
401,-10,24085
402,-10,24143
403,-10,24192
404,-10,24244
405,-10,24289
406,-10,24339
407,-10,24392
408,-10,24435
409,-10,24539
410,100,24592
411,100,24597
412,-10,24660
413,-10,24709
414,-10,24764
415,-10,24863
416,-10,24973
417,100,25030
418,-10,25086
419,-10,25137
420,-10,25186
421,-10,25248
422,-10,25297
423,-10,25354
424,100,25361
425,-10,25476
426,-10,25529
427,-10,25576
428,-10,25632
429,-10,25678
430,-10,25785
431,100,25790
432,-10,25893
433,-10,25973
434,-10,26019
435,-10,26121
436,-10,26169
437,-10,26279
438,100,26285
439,100,26286
440,-10,26342
441,-10,26413
442,-10,26474
443,-10,26593
444,-10,26629
445,-10,26678
446,-10,26735
447,-10,26789
448,-10,26838
449,-10,26980
450,100,27031
451,-10,27087
452,-10,27217
453,-10,27270
454,-10,27323
455,-10,27378
456,-10,27426
457,-10,27621
458,-10,27677
459,-10,27800
460,-10,27904
461,-10,27955
462,-10,28012
463,-10,28065
464,-10,28119
465,-10,28232
466,-10,28357
467,-10,28490
468,-10,28545
469,100,28546
470,-10,28600
471,-10,28652
472,100,28658
473,-10,28772
474,-10,28822
475,-10,28950
476,100,28957
477,-10,29115
478,-10,29173
479,-10,29221
480,-10,29271
481,-10,29326
482,100,29370
483,-10,29477
484,-10,29532
485,-10,29678
486,-10,29723
487,-10,29769
488,-10,29825
489,-10,29970
490,-10,30033
491,-10,30087
492,100,30093
493,100,30094
494,-10,30152
495,-10,30202
496,-10,30252
497,100,30426
498,-10,30483
499,-10,30536
500,-10,30585
501,100,30642
502,100,30643
503,-10,30692
504,-10,30759
505,-10,30877
506,-10,30934
507,-10,30982
508,-10,31104
509,-10,31240
510,100,31468
511,100,31469
512,-10,31605
513,-10,31729
514,-10,31859
515,-10,32004
516,-10,32078
517,-10,32213
518,-10,32318
519,-10,32371
520,-10,32437
521,-10,32495
522,100,32544
523,-10,32604
524,-10,32653
525,-10,32776
526,-10,32901
527,-10,33052
528,-10,33176
529,-10,33228
530,-10,33369
531,-10,33417
532,-10,33542
533,-10,33670
534,-10,33815
535,-10,33990
536,-10,34046
537,-10,34097
538,-10,34145
539,-10,34285
540,-10,34331
541,-10,34400
542,100,34405
543,-10,34528
544,100,34537
545,-10,34592
546,-10,34663
547,-10,34815
548,-10,34923
549,-10,35037
550,-10,35085
551,-10,35149
552,-10,35211
553,-10,35258
554,-10,35379
555,-10,35459
556,-10,35513
557,-10,35657
558,-10,35709
559,-10,35756
560,-10,35871
561,-10,35923
562,-10,36047
563,-10,36100
564,-10,36146
565,100,36418
566,-10,36522
567,-10,36597
568,100,36603
569,100,36640
570,-10,36773
571,-10,36824
572,-10,36945
573,-10,37054
574,-10,37183
575,-10,37229
576,-10,37356
577,-10,37493
578,-10,37661
579,-10,37792
580,100,37832
581,-10,37883
582,-10,38016
583,-10,38062
584,-10,38182
585,-10,38329
586,-10,38486
587,-10,38599
588,-10,38649
589,-10,38699
590,-10,38746
591,-10,38866
592,-10,38939
593,-10,39055
594,-10,39193
595,100,39200
596,-10,39312
597,-10,39434
598,-10,39564
599,-10,39686
600,-10,39741
601,-10,39886
602,-10,40146
603,-10,40197
604,-10,40321
605,100,40322
606,-10,40461
607,-10,40590
608,100,40596
609,-10,40638
610,-10,40760
611,100,40898
612,-10,40951
613,-10,40995
614,100,41078
615,-10,41131
616,-10,41178
617,-10,41302
618,-10,41353
619,-10,41485
620,-10,41602
621,-10,41761
622,-10,41888
623,100,41941
624,-10,41990
625,-10,42131
626,-10,42176
627,-10,42332
628,100,42516
629,-10,42689
630,-10,42819
631,-10,42939
632,100,42974
633,-10,43092
634,-10,43141
635,-10,43416
636,-10,43558
637,-10,43686
638,-10,43809
639,-10,43940
640,-10,44055
641,100,44063
642,-10,44121
643,-10,44167
644,-10,44215
645,100,44221
646,-10,44265
647,-10,44394
648,-10,44564
649,100,44620
650,100,44630
651,-10,44740
652,-10,44843
653,-10,44965
654,100,44976
655,-10,45093
656,-10,45152
657,-10,45265
658,-10,45319
659,-10,45437
660,-10,45549
661,100,45556
662,-10,45603
663,-10,45748
664,-10,45875
665,-10,46009
666,100,46131
667,-10,46287
668,-10,46332
669,-10,46444
670,-10,46584
671,100,46592
672,-10,46648
673,100,46655
674,100,46713
675,-10,46831
676,-10,46942
677,-10,47073
678,-10,47192
679,-10,47318
680,-10,47444
681,-10,47495
682,-10,47598
683,100,47721
684,-10,47854
685,-10,47977
686,-10,48095
687,100,48354
688,-10,48470
689,-10,48592
690,100,48593
691,-10,48725
692,-10,48843
693,-10,48964
694,-10,49007
695,100,49018
696,-10,49136
697,100,49335
698,100,49508
699,-10,49558
700,-10,49683
701,-10,49974
702,-10,50074
703,100,50082
704,-10,50183
705,-10,50307
706,-10,50420
707,100,50428
708,100,50429
709,-10,50547
710,-10,50596
711,-10,50703
712,-10,50825
713,-10,50924
714,-10,51066
715,100,51074
716,-10,51195
717,100,51252
718,100,51505
719,100,51550
720,-10,51653
721,-10,51702
722,100,51741
723,-10,51858
724,-10,51964
725,-10,52073
726,100,52107
727,-10,52244
728,100,52289
729,-10,52411
730,-10,52454
731,100,52455
732,-10,52506
733,-10,52628
734,100,52640
735,100,52652
736,-10,52782
737,-10,52893
738,-10,53002
739,-10,53129
740,-10,53239
741,100,53240
742,100,53252
743,-10,53528
744,-10,53664
745,100,53707
746,-10,53815
747,-10,54002
748,-10,54114
749,-10,54221
750,-10,54335
751,-10,54448
752,-10,54564
753,100,54579
754,-10,54688
755,-10,54814
756,-10,54870
757,-10,54986
758,-10,55101
759,-10,55223
760,-10,55374
761,-10,55493
762,-10,55633
763,-10,55684
764,-10,55804
765,100,55810
766,-10,55928
767,-10,56050
768,-10,56203
769,-10,56334
770,-10,56449
771,100,56615
772,-10,56749
773,100,56978
774,-10,57077
775,-10,57198
776,-10,57378
777,100,57477
778,-10,57591
779,-10,57713
780,-10,57821
781,100,57865
782,-10,57987
783,-10,58118
784,-10,58242
785,-10,58349
786,-10,58461
787,-10,58595
788,100,58697
789,100,58698
790,-10,58822
791,-10,58931
792,-10,59059
793,-10,59188
794,-10,59298
795,100,59299
796,-10,59419
797,-10,59529
798,-10,59659
799,100,59703
800,100,59716
801,-10,59839
802,-10,59958
803,-10,60092
804,-10,60229
805,-10,60355
806,-10,60458
807,-10,60596
808,-10,60728
809,-10,60852
810,-10,60967
811,100,61123
812,100,61136
813,-10,61250
814,100,61262
815,100,61299
816,100,61357
817,100,61481
818,-10,61614
819,-10,61720
820,-10,61851
821,-10,61953
822,-10,62074
823,-10,62364
824,100,62401
825,-10,62522
826,-10,62628
827,-10,62756
828,-10,62812
829,-10,62927
830,100,62938
831,100,62961
832,100,62992
833,-10,63045
834,-10,63159
835,-10,63278
836,-10,63401
837,-10,63659
838,-10,63775
839,100,63867
840,-10,63984
841,-10,64102
842,-10,64213
843,100,64315
844,-10,64442
845,-10,64556
846,100,64589
847,100,64848
848,-10,64969
849,-10,65096
850,-10,65205
851,-10,65330
852,-10,65447
853,-10,65563
854,100,65639
855,-10,65758
856,-10,65878
857,100,65902
858,-10,66023
859,-10,66125
860,100,66131
861,100,66136
862,100,66229
863,-10,66346
864,100,66397
865,-10,66520
866,100,66621
867,-10,66736
868,-10,66859
869,-10,66975
870,-10,67089
871,100,67111
872,-10,67231
873,-10,67355
874,-10,67473
875,100,67479
876,100,67505
877,100,67561
878,100,67562
879,-10,67685
880,-10,67815
881,-10,67923
882,-10,68057
883,-10,68176
884,100,68218
885,-10,68341
886,100,68506
887,-10,68620
888,-10,68734
889,-10,68854
890,-10,68972
891,-10,69097
892,-10,69153
893,-10,69274
894,-10,69387
895,100,69402
896,100,69492
897,-10,69607
898,-10,69777
899,100,69872
900,100,69936
901,-10,70048
902,100,70071
903,100,70104
904,-10,70207
905,100,70246
906,-10,70354
907,-10,70458
908,100,70459
909,100,70512
910,-10,70631
911,100,70632
912,100,70669
913,100,70689
914,100,70710
915,-10,70841
916,100,70883
917,100,70978
918,100,71001
919,-10,71131
920,100,71230
921,-10,71341
922,-10,71464
923,-10,71574
924,100,71581
925,100,71662
926,100,71795
927,100,71830
928,-10,71939
929,100,71952
930,-10,72072
931,100,72092
932,-10,72207
933,-10,72310
934,-10,72429
935,100,72574
936,100,72619
937,100,72628
938,100,72715
939,-10,72761
940,100,72846
941,-10,72954
942,-10,73067
943,-10,73175
944,-10,73290
945,100,73312
946,-10,73424
947,-10,73539
948,100,73546
949,-10,73655
950,-10,73768
951,100,73779
952,100,73819
953,100,73877
954,-10,73973
955,100,73984
956,100,74071
957,100,74072
958,-10,74192
959,100,74275
960,100,74289
961,100,74307
962,-10,74425
963,100,74454
964,100,74459
965,-10,74573
966,-10,74646
967,100,74727
968,100,74800
969,-10,74914
970,-10,74961
971,100,75001
972,-10,75111
973,-10,75211
974,-10,75340
975,100,75348
976,-10,75477
977,100,75533
978,-10,75645
979,100,75646
980,-10,75767
981,100,75793
982,100,75821
983,-10,75930
984,100,76016
985,-10,76133
986,-10,76190
987,-10,76295
988,-10,76404
989,100,76405
990,-10,76455
991,-10,76527
992,100,76538
993,-10,76594
994,-10,76698
995,-10,76809
996,100,76840
997,-10,76955
998,100,76956
999,-10,77061
1000,-10,77124
1001,-10,77190
1002,-10,77300
1003,100,77321
1004,-10,77435
1005,100,77573
1006,100,77694
1007,100,77782
1008,100,77824
1009,-10,77938
1010,-10,78048
1011,-10,78153
1012,100,78182
1013,-10,78288
1014,100,78380
1015,100,78431
1016,100,78694
1017,-10,78799
1018,-10,78915
1019,100,78928
1020,-10,79059
1021,-10,79184
1022,100,79324
1023,100,79332
1024,-10,79453
1025,-10,79553
1026,100,79581
1027,-10,79695
1028,100,79730
1029,-10,79825
1030,-10,79938
1031,-10,80039
1032,100,80068
1033,-10,80186
1034,-10,80244
1035,100,80478
1036,100,80637
1037,100,80713
1038,-10,80824
1039,100,80837
1040,100,80915
1041,-10,81020
1042,100,81043
1043,-10,81158
1044,100,81194
1045,100,81252
1046,100,81310
1047,100,81345
1048,-10,81416
1049,-10,81521
1050,-10,81616
1051,100,81631
1052,100,81681
1053,100,81696
1054,-10,81791
1055,100,81792
1056,100,81804
1057,-10,81917
1058,100,82075
1059,-10,82136
1060,100,82162
1061,100,82216
1062,-10,82320
1063,100,82371
1064,-10,82475
1065,100,82489
1066,100,82543
1067,-10,82649
1068,100,82657
1069,100,82802
1070,-10,82906
1071,-10,83014
1072,-10,83137
1073,-10,83239
1074,-10,83351
1075,100,83508
1076,100,83551
1077,-10,83634
1078,-10,83748
1079,100,83950
1080,100,83961
1081,-10,84070
1082,100,84142
1083,-10,84211
1084,100,84293
1085,100,84346
1086,100,84427
1087,100,84462
1088,100,84497
1089,-10,84609
1090,100,84693
1091,100,84733
1092,-10,84812
1093,100,84824
1094,100,84842
1095,-10,84950
1096,100,84985
1097,100,85019
1098,100,85063
1099,-10,85131
1100,100,85213
1101,100,85252
1102,-10,85362
1103,100,85379
1104,-10,85490
1105,100,85654
1106,-10,85720
1107,100,85797
1108,100,85879
1109,100,85912
1110,100,85987
1111,100,86040
1112,-10,86156
1113,-10,86273
1114,-10,86350
1115,100,86379
1116,100,86396
1117,100,86564
1118,100,86666
1119,100,86748
1120,100,86788
1121,100,86828
1122,100,87005
1123,100,87091
1124,100,87105
1125,-10,87186
1126,100,87187
1127,100,87219
1128,100,87237
1129,-10,87351
1130,100,87443
1131,100,87476
1132,100,87498
1133,-10,87611
1134,100,87689
1135,-10,87815
1136,100,87987
1137,100,88136
1138,-10,88250
1139,-10,88370
1140,100,88412
1141,100,88494
1142,100,88525
1143,-10,88625
1144,100,88703
1145,100,88782
1146,100,88828
1147,-10,88939
1148,-10,89054
1149,100,89104
1150,100,89245
1151,100,89246
1152,100,89251
1153,100,89288
1154,100,89370
1155,100,89466
1156,100,89541
1157,-10,89636
1158,100,89715
1159,100,89769
1160,100,89825
1161,100,89908
1162,-10,90023
1163,100,90039
1164,100,90181
1165,100,90309
1166,-10,90418
1167,100,90486
1168,100,90640
1169,100,90701
1170,100,90719
1171,-10,90818
1172,-10,90914
1173,100,91043
1174,100,91191
1175,100,91272
1176,100,91310
1177,-10,91408
1178,-10,91488
1179,100,91573
1180,-10,91675
1181,-10,91816
1182,100,91851
1183,100,92011
1184,100,92044
1185,100,92133
1186,100,92149
1187,100,92187
1188,100,92188
1189,100,92226
1190,100,92309
1191,100,92315
1192,100,92379
1193,-10,92472
1194,100,92531
1195,-10,92613
1196,-10,92725
1197,100,92781
1198,100,92927
1199,100,92950
1200,-10,93025
1201,100,93169
1202,100,93182
1203,-10,93278
1204,-10,93388
1205,100,93466
1206,100,93498
1207,100,93557
1208,100,93641
1209,100,93654
1210,100,93731
1211,100,93743
1212,100,93779
1213,100,93901
1214,100,93951
1215,100,93958
1216,100,94010
1217,100,94095
1218,100,94177
1219,100,94260
1220,100,94261
1221,-10,94352
1222,100,94361
1223,100,94437
1224,100,94470
1225,-10,94575
1226,100,94664
1227,-10,94749
1228,100,94810
1229,100,94811
1230,-10,94892
1231,100,94967
1232,100,95054
1233,-10,95139
1234,100,95189
1235,100,95229
1236,-10,95329
1237,100,95411
1238,100,95495
1239,-10,95601
1240,100,95634
1241,100,95729
1242,-10,95831
1243,100,95921
1244,100,96059
1245,100,96153
1246,-10,96238
1247,100,96255
1248,100,96342
1249,100,96356
1250,100,96515
1251,100,96597
1252,-10,96702
1253,100,96843
1254,100,97017
1255,100,97144
1256,100,97188
1257,-10,97295
1258,100,97335
1259,100,97457
1260,100,97496
1261,100,97661
1262,-10,97767
1263,100,97852
1264,100,97877
1265,100,97925
1266,100,97977
1267,100,97986
1268,100,98070
1269,100,98103
1270,-10,98223
1271,100,98365
1272,100,98388
1273,100,98403
1274,100,98410
1275,100,98502
1276,100,98587
1277,-10,98708
1278,100,98746
1279,100,98764
1280,100,98782
1281,-10,98885
1282,100,99025
1283,100,99180
1284,100,99181
1285,100,99301
1286,100,99388
1287,100,99523
1288,100,99660
1289,100,99774
1290,100,99775
1291,100,99867
1292,100,100005
1293,100,100049
1294,100,100203
1295,-10,100319
1296,-10,100405
1297,100,100510
1298,100,100616
1299,100,100622
1300,100,100708
1301,100,100746
1302,100,100881
1303,100,100981
1304,100,101098
1305,100,101112
1306,-10,101234
1307,100,101311
1308,100,101319
1309,100,101465
1310,100,101546
1311,100,101565
1312,100,101708
1313,100,101742
1314,100,101876
1315,100,101921
1316,100,102038
1317,100,102120
1318,100,102224
1319,100,102316
1320,100,102334
1321,100,102492
1322,100,102523
1323,100,102659
1324,100,102750
1325,100,102779
1326,100,102787
1327,100,102819
1328,-10,102920
1329,100,103044
1330,100,103156
1331,100,103199
1332,100,103236
1333,100,103376
1334,-10,103491
1335,100,103633
1336,100,103650
1337,100,103798
1338,100,103799
1339,100,103913
1340,100,103930
1341,100,103968
1342,100,104005
1343,100,104089
1344,100,104237
1345,100,104332
1346,100,104416
1347,100,104532
1348,100,104545
1349,100,104686
1350,100,104773
1351,100,104795
1352,100,104796
1353,-10,104896
1354,100,104979
1355,100,105031
1356,100,105043
1357,100,105194
1358,100,105279
1359,-10,105383
1360,100,105410
1361,100,105555
1362,100,105664
1363,100,105715
1364,100,105766
1365,100,105854
1366,100,105940
1367,100,106066
1368,100,106157
1369,100,106158
1370,100,106256
1371,100,106357
1372,100,106504
1373,100,106519
1374,100,106605
1375,-10,106725
1376,100,106736
1377,100,106815
1378,100,107002
1379,100,107092
1380,-10,107241
1381,100,107385
1382,100,107438
1383,100,107567
1384,100,107712
1385,100,107811
1386,-10,107924
1387,100,107961
1388,-10,108096
1389,-10,108202
1390,100,108247
1391,100,108344
1392,100,108377
1393,100,108428
1394,100,108512
1395,-10,108773
1396,100,108853
1397,100,108885
1398,100,108995
1399,100,109097
1400,100,109186
1401,100,109325
1402,100,109409
1403,100,109500
1404,100,109523
1405,100,109607
1406,100,109648
1407,100,109732
1408,100,109818
1409,100,109968
1410,-10,110091
1411,100,110096
1412,-10,110199
1413,100,110227
1414,100,110328
1415,-10,110444
1416,100,110585
1417,100,110745
1418,-10,110857
1419,100,110962
1420,-10,111070
1421,-10,111181
1422,100,111330
1423,-10,111450
1424,-10,111569
1425,-10,111690
1426,100,111719
1427,100,111756
1428,100,111770
1429,100,111821
1430,100,111955
1431,-10,112074
1432,100,112128
1433,100,112160
1434,-10,112436
1435,100,112561
1436,100,112596
1437,100,112856
1438,100,112900
1439,100,113042
1440,100,113055
1441,100,113144
1442,-10,113264
1443,100,113422
1444,100,113430
1445,100,113507
1446,100,113589
1447,100,113590
1448,100,113693
1449,100,114001
1450,100,114040
1451,100,114136
1452,100,114279
1453,-10,114367
1454,100,114475
1455,100,114510
1456,100,114604
1457,100,114643
1458,100,114677
1459,-10,114790
1460,100,114875
1461,100,115021
1462,100,115148
1463,100,115172
1464,100,115207
1465,100,115314
1466,100,115422
1467,100,115455
1468,100,115456
1469,100,115555
1470,100,115609
1471,100,115763
1472,100,115852
1473,100,115932
1474,100,116033
1475,-10,116134
1476,100,116145
1477,100,116296
1478,100,116297
1479,100,116349
1480,100,116381
1481,100,116489
1482,100,116523
1483,100,116530
1484,100,116563
1485,-10,116686
1486,100,116829
1487,-10,116924
1488,100,116925
1489,100,116935
1490,-10,117146
1491,-10,117239
1492,100,117270
1493,-10,117394
1494,100,117436
1495,-10,117557
1496,100,117612
