episode,scores,steps
0,100,1
1,-10,140
2,-10,156
3,-10,222
4,-10,242
5,-10,257
6,-10,276
7,-10,296
8,-10,313
9,-10,331
10,-10,349
11,-10,367
12,-10,385
13,-10,401
14,-10,416
15,-10,434
16,-10,452
17,-10,468
18,100,800
19,100,879
20,-10,958
21,-10,987
22,-10,1020
23,100,1041
24,100,1179
25,100,1232
26,100,1261
27,100,1262
28,-10,1311
29,-10,1351
30,-10,1383
31,100,1493
32,-10,1529
33,-10,1584
34,100,1640
35,-10,1714
36,100,1745
37,-10,1802
38,-10,1846
39,-10,1882
40,-10,1911
41,100,1921
42,100,1985
43,-10,2013
44,-10,2051
45,-10,2126
46,100,2146
47,100,2181
48,-10,2216
49,100,2331
50,-10,2392
51,-10,2432
52,-10,2566
53,-10,2589
54,100,2606
55,-10,2628
56,-10,2657
57,100,2710
58,100,2822
59,-10,2859
60,-10,2894
61,-10,2938
62,-10,2970
63,100,3048
64,-10,3114
65,-10,3175
66,-10,3218
67,-10,3255
68,100,3342
69,100,3343
70,-10,3407
71,100,3432
72,-10,3460
73,-10,3488
74,100,3512
75,100,3523
76,100,3556
77,100,3585
78,100,3590
79,100,3634
80,100,3683
81,-10,3715
82,-10,3743
83,100,3761
84,100,3805
85,100,3830
86,100,3880
87,-10,3932
88,100,3977
89,-10,4028
90,100,4029
91,100,4082
92,-10,4112
93,-10,4142
94,-10,4183
95,-10,4222
96,100,4240
97,100,4245
98,100,4294
99,100,4334
100,100,4339
101,100,4340
102,100,4378
103,100,4463
104,100,4464
105,-10,4525
106,-10,4633
107,100,4664
108,100,4695
109,-10,4720
110,-10,4747
111,-10,4794
112,100,4835
113,100,4836
114,100,4843
115,-10,4871
116,100,4900
117,100,4905
118,-10,4966
119,100,5029
120,-10,5100
121,-10,5129
122,-10,5206
123,100,5233
124,100,5359
125,-10,5425
126,-10,5494
127,100,5559
128,-10,5625
129,100,5664
130,-10,5741
131,100,5760
132,-10,5822
133,100,5829
134,-10,5896
135,100,5919
136,100,5920
137,-10,5986
138,-10,6042
139,100,6043
140,-10,6109
141,-10,6133
142,100,6170
143,-10,6255
144,100,6284
145,100,6304
146,-10,6350
147,-10,6385
148,100,6437
149,100,6454
150,-10,6491
151,-10,6533
152,-10,6572
153,-10,6607
154,-10,6703
155,100,6730
156,-10,6777
157,-10,6849
158,-10,6952
159,100,6980
160,100,6990
161,100,7012
162,100,7027
163,100,7097
164,-10,7148
165,100,7149
166,-10,7219
167,100,7365
168,100,7370
169,100,7443
170,100,7543
171,100,7570
172,100,7703
173,100,7833
174,100,7993
175,100,8132
176,100,8273
177,100,8314
178,100,8456
179,100,8472
180,100,8483
181,100,8488
182,100,8507
183,100,8640
184,100,8645
185,100,8803
186,100,8814
187,100,8855
188,100,8864
189,100,8865
190,100,9028
191,100,9135
192,100,9191
193,-10,9273
194,100,9461
195,-10,9521
196,100,9533
197,100,9553
198,100,9575
199,100,9616
200,-10,9699
201,100,9710
202,-10,9785
203,-10,9861
204,100,9943
205,100,9959
206,100,9960
207,100,10009
208,-10,10068
209,100,10069
210,-10,10155
211,-10,10227
212,100,10242
213,-10,10329
214,-10,10500
215,100,10511
216,-10,10559
217,100,10645
218,100,10657
219,100,10757
220,100,10766
221,-10,10845
222,100,10951
223,-10,10985
224,100,10994
225,100,11046
226,-10,11086
227,-10,11129
228,-10,11180
229,100,11217
230,100,11237
231,100,11257
232,100,11278
233,-10,11313
234,100,11338
235,100,11362
236,100,11379
237,-10,11401
238,100,11451
239,-10,11483
240,100,11492
241,-10,11513
242,100,11520
243,-10,11557
244,-10,11582
245,100,11585
246,-10,11625
247,100,11706
248,-10,11733
249,100,11762
250,-10,11792
251,100,11805
252,-10,11835
253,100,11907
254,100,11920
255,100,11983
256,100,11990
257,100,12008
258,100,12015
259,100,12029
260,100,12035
261,100,12067
262,100,12139
263,100,12142
264,100,12143
265,-10,12205
266,-10,12237
267,-10,12267
268,100,12321
269,-10,12393
270,100,12411
271,100,12431
272,100,12461
273,100,12510
274,100,12520
275,-10,12550
276,-10,12579
277,100,12599
278,-10,12637
279,100,12656
280,100,12665
281,100,12695
282,100,12700
283,100,12701
284,100,12718
285,100,12738
286,100,12769
287,100,12787
288,100,12799
289,100,12869
290,100,12902
291,-10,12955
292,100,12977
293,100,13006
294,100,13009
295,100,13075
296,100,13087
297,-10,13120
298,100,13175
299,100,13190
300,100,13248
301,100,13316
302,100,13369
303,100,13388
304,100,13425
305,100,13497
306,100,13531
307,100,13602
308,100,13614
309,100,13654
310,100,13688
311,100,13691
312,100,13745
313,100,13842
314,100,13924
315,100,13982
316,100,14097
317,100,14108
318,100,14122
319,100,14138
320,100,14141
321,100,14142
322,100,14143
323,100,14173
324,100,14188
325,100,14264
326,100,14279
327,-10,14303
328,-10,14315
329,100,14327
330,100,14359
331,100,14380
332,100,14392
333,100,14404
334,100,14492
335,100,14552
336,100,14626
337,100,14671
338,100,14730
339,100,14761
340,100,14813
341,100,14832
342,100,14844
343,100,14869
344,100,14927
345,-10,14940
346,100,14952
347,100,14963
348,100,15020
349,100,15053
350,100,15071
351,100,15072
352,100,15130
353,100,15163
354,100,15174
355,100,15195
356,100,15202
